 --- results/merged_results_corpus_lzbench_1753711437.csv_results_corpus_entropy_1757091573.csv.csv --- 
memcpy                |     Compression speed  |  Decompression speed   | +0.95530	<===
kanzi 2.3 -1          |     Compression speed  |  Decompression speed   | +0.67335	<---
kanzi 2.3 -1          |     Compression speed  |  Original size         | -0.74792	<---
kanzi 2.3 -1          |     Compression speed  |  Compressed size       | -0.76381	<---
kanzi 2.3 -1          |     Compression speed  |  Ratio                 | -0.50035	<---
kanzi 2.3 -1          |     Compression speed  |  File-bits             | -0.74792	<---
kanzi 2.3 -1          |     Compression speed  |  Entropy               | -0.94895	<===
kanzi 2.3 -1          |     Compression speed  |  Chi-square            | -0.63450	<---
kanzi 2.3 -1          |     Compression speed  |  Mean                  | -0.95188	<===
kanzi 2.3 -1          |     Compression speed  |  Monte-Carlo-Pi        | +0.83113	<===
kanzi 2.3 -1          |     Compression speed  |  Serial-Correlation    | +0.52636	<---
kanzi 2.3 -1          |   Decompression speed  |  Original size         | -0.22972
kanzi 2.3 -1          |   Decompression speed  |  Compressed size       | -0.27960
kanzi 2.3 -1          |   Decompression speed  |  Ratio                 | -0.74514	<---
kanzi 2.3 -1          |   Decompression speed  |  File-bits             | -0.22972
kanzi 2.3 -1          |   Decompression speed  |  Entropy               | -0.65047	<---
kanzi 2.3 -1          |   Decompression speed  |  Chi-square            | -0.04007
kanzi 2.3 -1          |   Decompression speed  |  Mean                  | -0.66630	<---
kanzi 2.3 -1          |   Decompression speed  |  Monte-Carlo-Pi        | +0.81267	<===
kanzi 2.3 -1          |   Decompression speed  |  Serial-Correlation    | -0.01326
kanzi 2.3 -1          |         Original size  |  Compressed size       | +0.99704	<===
kanzi 2.3 -1          |         Original size  |  Ratio                 | +0.05290
kanzi 2.3 -1          |         Original size  |  File-bits             | +1.00000	<===
kanzi 2.3 -1          |         Original size  |  Entropy               | +0.68885	<---
kanzi 2.3 -1          |         Original size  |  Chi-square            | +0.96045	<===
kanzi 2.3 -1          |         Original size  |  Mean                  | +0.69798	<---
kanzi 2.3 -1          |         Original size  |  Monte-Carlo-Pi        | -0.55580	<---
kanzi 2.3 -1          |         Original size  |  Serial-Correlation    | -0.67645	<---
kanzi 2.3 -1          |       Compressed size  |  Ratio                 | +0.11398
kanzi 2.3 -1          |       Compressed size  |  File-bits             | +0.99704	<===
kanzi 2.3 -1          |       Compressed size  |  Entropy               | +0.70147	<---
kanzi 2.3 -1          |       Compressed size  |  Chi-square            | +0.94945	<===
kanzi 2.3 -1          |       Compressed size  |  Mean                  | +0.71177	<---
kanzi 2.3 -1          |       Compressed size  |  Monte-Carlo-Pi        | -0.60790	<---
kanzi 2.3 -1          |       Compressed size  |  Serial-Correlation    | -0.63814	<---
kanzi 2.3 -1          |                 Ratio  |  File-bits             | +0.05290
kanzi 2.3 -1          |                 Ratio  |  Entropy               | +0.48483
kanzi 2.3 -1          |                 Ratio  |  Chi-square            | -0.01815
kanzi 2.3 -1          |                 Ratio  |  Mean                  | +0.48021
kanzi 2.3 -1          |                 Ratio  |  Monte-Carlo-Pi        | -0.81672	<===
kanzi 2.3 -1          |                 Ratio  |  Serial-Correlation    | +0.27474
kanzi 2.3 -1          |             File-bits  |  Entropy               | +0.68885	<---
kanzi 2.3 -1          |             File-bits  |  Chi-square            | +0.96045	<===
kanzi 2.3 -1          |             File-bits  |  Mean                  | +0.69798	<---
kanzi 2.3 -1          |             File-bits  |  Monte-Carlo-Pi        | -0.55580	<---
kanzi 2.3 -1          |             File-bits  |  Serial-Correlation    | -0.67645	<---
kanzi 2.3 -1          |               Entropy  |  Chi-square            | +0.55225	<---
kanzi 2.3 -1          |               Entropy  |  Mean                  | +0.99879	<===
kanzi 2.3 -1          |               Entropy  |  Monte-Carlo-Pi        | -0.76864	<---
kanzi 2.3 -1          |               Entropy  |  Serial-Correlation    | -0.59121	<---
kanzi 2.3 -1          |            Chi-square  |  Mean                  | +0.55332	<---
kanzi 2.3 -1          |            Chi-square  |  Monte-Carlo-Pi        | -0.42808
kanzi 2.3 -1          |            Chi-square  |  Serial-Correlation    | -0.68573	<---
kanzi 2.3 -1          |                  Mean  |  Monte-Carlo-Pi        | -0.77635	<---
kanzi 2.3 -1          |                  Mean  |  Serial-Correlation    | -0.58444	<---
kanzi 2.3 -1          |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.05832
kanzi 2.3 -2          |     Compression speed  |  Decompression speed   | +0.72223	<---
kanzi 2.3 -2          |     Compression speed  |  Original size         | -0.55760	<---
kanzi 2.3 -2          |     Compression speed  |  Compressed size       | -0.59505	<---
kanzi 2.3 -2          |     Compression speed  |  Ratio                 | -0.71830	<---
kanzi 2.3 -2          |     Compression speed  |  File-bits             | -0.55760	<---
kanzi 2.3 -2          |     Compression speed  |  Entropy               | -0.92321	<===
kanzi 2.3 -2          |     Compression speed  |  Chi-square            | -0.43153
kanzi 2.3 -2          |     Compression speed  |  Mean                  | -0.92582	<===
kanzi 2.3 -2          |     Compression speed  |  Monte-Carlo-Pi        | +0.87259	<===
kanzi 2.3 -2          |     Compression speed  |  Serial-Correlation    | +0.38026
kanzi 2.3 -2          |   Decompression speed  |  Original size         | -0.07910
kanzi 2.3 -2          |   Decompression speed  |  Compressed size       | -0.15590
kanzi 2.3 -2          |   Decompression speed  |  Ratio                 | -0.99540	<===
kanzi 2.3 -2          |   Decompression speed  |  File-bits             | -0.07910
kanzi 2.3 -2          |   Decompression speed  |  Entropy               | -0.50768	<---
kanzi 2.3 -2          |   Decompression speed  |  Chi-square            | +0.01550
kanzi 2.3 -2          |   Decompression speed  |  Mean                  | -0.50673	<---
kanzi 2.3 -2          |   Decompression speed  |  Monte-Carlo-Pi        | +0.84373	<===
kanzi 2.3 -2          |   Decompression speed  |  Serial-Correlation    | -0.26551
kanzi 2.3 -2          |         Original size  |  Compressed size       | +0.99548	<===
kanzi 2.3 -2          |         Original size  |  Ratio                 | +0.04837
kanzi 2.3 -2          |         Original size  |  File-bits             | +1.00000	<===
kanzi 2.3 -2          |         Original size  |  Entropy               | +0.68885	<---
kanzi 2.3 -2          |         Original size  |  Chi-square            | +0.96045	<===
kanzi 2.3 -2          |         Original size  |  Mean                  | +0.69798	<---
kanzi 2.3 -2          |         Original size  |  Monte-Carlo-Pi        | -0.55580	<---
kanzi 2.3 -2          |         Original size  |  Serial-Correlation    | -0.67645	<---
kanzi 2.3 -2          |       Compressed size  |  Ratio                 | +0.12472
kanzi 2.3 -2          |       Compressed size  |  File-bits             | +0.99548	<===
kanzi 2.3 -2          |       Compressed size  |  Entropy               | +0.70557	<---
kanzi 2.3 -2          |       Compressed size  |  Chi-square            | +0.94368	<===
kanzi 2.3 -2          |       Compressed size  |  Mean                  | +0.71642	<---
kanzi 2.3 -2          |       Compressed size  |  Monte-Carlo-Pi        | -0.61962	<---
kanzi 2.3 -2          |       Compressed size  |  Serial-Correlation    | -0.62856	<---
kanzi 2.3 -2          |                 Ratio  |  File-bits             | +0.04837
kanzi 2.3 -2          |                 Ratio  |  Entropy               | +0.49733
kanzi 2.3 -2          |                 Ratio  |  Chi-square            | -0.04657
kanzi 2.3 -2          |                 Ratio  |  Mean                  | +0.49604
kanzi 2.3 -2          |                 Ratio  |  Monte-Carlo-Pi        | -0.83347	<===
kanzi 2.3 -2          |                 Ratio  |  Serial-Correlation    | +0.29625
kanzi 2.3 -2          |             File-bits  |  Entropy               | +0.68885	<---
kanzi 2.3 -2          |             File-bits  |  Chi-square            | +0.96045	<===
kanzi 2.3 -2          |             File-bits  |  Mean                  | +0.69798	<---
kanzi 2.3 -2          |             File-bits  |  Monte-Carlo-Pi        | -0.55580	<---
kanzi 2.3 -2          |             File-bits  |  Serial-Correlation    | -0.67645	<---
kanzi 2.3 -2          |               Entropy  |  Chi-square            | +0.55225	<---
kanzi 2.3 -2          |               Entropy  |  Mean                  | +0.99879	<===
kanzi 2.3 -2          |               Entropy  |  Monte-Carlo-Pi        | -0.76864	<---
kanzi 2.3 -2          |               Entropy  |  Serial-Correlation    | -0.59121	<---
kanzi 2.3 -2          |            Chi-square  |  Mean                  | +0.55332	<---
kanzi 2.3 -2          |            Chi-square  |  Monte-Carlo-Pi        | -0.42808
kanzi 2.3 -2          |            Chi-square  |  Serial-Correlation    | -0.68573	<---
kanzi 2.3 -2          |                  Mean  |  Monte-Carlo-Pi        | -0.77635	<---
kanzi 2.3 -2          |                  Mean  |  Serial-Correlation    | -0.58444	<---
kanzi 2.3 -2          |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.05832
kanzi 2.3 -3          |     Compression speed  |  Decompression speed   | +0.69963	<---
kanzi 2.3 -3          |     Compression speed  |  Original size         | -0.70539	<---
kanzi 2.3 -3          |     Compression speed  |  Compressed size       | -0.74246	<---
kanzi 2.3 -3          |     Compression speed  |  Ratio                 | -0.65369	<---
kanzi 2.3 -3          |     Compression speed  |  File-bits             | -0.70539	<---
kanzi 2.3 -3          |     Compression speed  |  Entropy               | -0.92561	<===
kanzi 2.3 -3          |     Compression speed  |  Chi-square            | -0.61382	<---
kanzi 2.3 -3          |     Compression speed  |  Mean                  | -0.93100	<===
kanzi 2.3 -3          |     Compression speed  |  Monte-Carlo-Pi        | +0.92901	<===
kanzi 2.3 -3          |     Compression speed  |  Serial-Correlation    | +0.36898
kanzi 2.3 -3          |   Decompression speed  |  Original size         | -0.07580
kanzi 2.3 -3          |   Decompression speed  |  Compressed size       | -0.14712
kanzi 2.3 -3          |   Decompression speed  |  Ratio                 | -0.98113	<===
kanzi 2.3 -3          |   Decompression speed  |  File-bits             | -0.07580
kanzi 2.3 -3          |   Decompression speed  |  Entropy               | -0.46498
kanzi 2.3 -3          |   Decompression speed  |  Chi-square            | +0.01130
kanzi 2.3 -3          |   Decompression speed  |  Mean                  | -0.46735
kanzi 2.3 -3          |   Decompression speed  |  Monte-Carlo-Pi        | +0.81435	<===
kanzi 2.3 -3          |   Decompression speed  |  Serial-Correlation    | -0.27827
kanzi 2.3 -3          |         Original size  |  Compressed size       | +0.99642	<===
kanzi 2.3 -3          |         Original size  |  Ratio                 | +0.00600
kanzi 2.3 -3          |         Original size  |  File-bits             | +1.00000	<===
kanzi 2.3 -3          |         Original size  |  Entropy               | +0.72590	<---
kanzi 2.3 -3          |         Original size  |  Chi-square            | +0.97350	<===
kanzi 2.3 -3          |         Original size  |  Mean                  | +0.73784	<---
kanzi 2.3 -3          |         Original size  |  Monte-Carlo-Pi        | -0.56564	<---
kanzi 2.3 -3          |         Original size  |  Serial-Correlation    | -0.67652	<---
kanzi 2.3 -3          |       Compressed size  |  Ratio                 | +0.07468
kanzi 2.3 -3          |       Compressed size  |  File-bits             | +0.99642	<===
kanzi 2.3 -3          |       Compressed size  |  Entropy               | +0.73930	<---
kanzi 2.3 -3          |       Compressed size  |  Chi-square            | +0.96194	<===
kanzi 2.3 -3          |       Compressed size  |  Mean                  | +0.75244	<---
kanzi 2.3 -3          |       Compressed size  |  Monte-Carlo-Pi        | -0.62330	<---
kanzi 2.3 -3          |       Compressed size  |  Serial-Correlation    | -0.63477	<---
kanzi 2.3 -3          |                 Ratio  |  File-bits             | +0.00600
kanzi 2.3 -3          |                 Ratio  |  Entropy               | +0.44132
kanzi 2.3 -3          |                 Ratio  |  Chi-square            | -0.05573
kanzi 2.3 -3          |                 Ratio  |  Mean                  | +0.43625
kanzi 2.3 -3          |                 Ratio  |  Monte-Carlo-Pi        | -0.77791	<---
kanzi 2.3 -3          |                 Ratio  |  Serial-Correlation    | +0.30474
kanzi 2.3 -3          |             File-bits  |  Entropy               | +0.72590	<---
kanzi 2.3 -3          |             File-bits  |  Chi-square            | +0.97350	<===
kanzi 2.3 -3          |             File-bits  |  Mean                  | +0.73784	<---
kanzi 2.3 -3          |             File-bits  |  Monte-Carlo-Pi        | -0.56564	<---
kanzi 2.3 -3          |             File-bits  |  Serial-Correlation    | -0.67652	<---
kanzi 2.3 -3          |               Entropy  |  Chi-square            | +0.63992	<---
kanzi 2.3 -3          |               Entropy  |  Mean                  | +0.99878	<===
kanzi 2.3 -3          |               Entropy  |  Monte-Carlo-Pi        | -0.77221	<---
kanzi 2.3 -3          |               Entropy  |  Serial-Correlation    | -0.61294	<---
kanzi 2.3 -3          |            Chi-square  |  Mean                  | +0.64516	<---
kanzi 2.3 -3          |            Chi-square  |  Monte-Carlo-Pi        | -0.46300
kanzi 2.3 -3          |            Chi-square  |  Serial-Correlation    | -0.69981	<---
kanzi 2.3 -3          |                  Mean  |  Monte-Carlo-Pi        | -0.78117	<---
kanzi 2.3 -3          |                  Mean  |  Serial-Correlation    | -0.60775	<---
kanzi 2.3 -3          |        Monte-Carlo-Pi  |  Serial-Correlation    | +0.06090
lizard 2.1 -10        |     Compression speed  |  Decompression speed   | +0.59545	<---
lizard 2.1 -10        |     Compression speed  |  Original size         | -0.43837
lizard 2.1 -10        |     Compression speed  |  Compressed size       | -0.50281	<---
lizard 2.1 -10        |     Compression speed  |  Ratio                 | -0.94658	<===
lizard 2.1 -10        |     Compression speed  |  File-bits             | -0.43837
lizard 2.1 -10        |     Compression speed  |  Entropy               | -0.70213	<---
lizard 2.1 -10        |     Compression speed  |  Chi-square            | -0.32942
lizard 2.1 -10        |     Compression speed  |  Mean                  | -0.71159	<---
lizard 2.1 -10        |     Compression speed  |  Monte-Carlo-Pi        | +0.96953	<===
lizard 2.1 -10        |     Compression speed  |  Serial-Correlation    | -0.02648
lizard 2.1 -10        |   Decompression speed  |  Original size         | -0.67587	<---
lizard 2.1 -10        |   Decompression speed  |  Compressed size       | -0.69125	<---
lizard 2.1 -10        |   Decompression speed  |  Ratio                 | -0.40783
lizard 2.1 -10        |   Decompression speed  |  File-bits             | -0.67587	<---
lizard 2.1 -10        |   Decompression speed  |  Entropy               | -0.88649	<===
lizard 2.1 -10        |   Decompression speed  |  Chi-square            | -0.54442	<---
lizard 2.1 -10        |   Decompression speed  |  Mean                  | -0.89767	<===
lizard 2.1 -10        |   Decompression speed  |  Monte-Carlo-Pi        | +0.63776	<---
lizard 2.1 -10        |   Decompression speed  |  Serial-Correlation    | +0.62093	<---
lizard 2.1 -10        |         Original size  |  Compressed size       | +0.99613	<===
lizard 2.1 -10        |         Original size  |  Ratio                 | +0.22507
lizard 2.1 -10        |         Original size  |  File-bits             | +1.00000	<===
lizard 2.1 -10        |         Original size  |  Entropy               | +0.72590	<---
lizard 2.1 -10        |         Original size  |  Chi-square            | +0.97350	<===
lizard 2.1 -10        |         Original size  |  Mean                  | +0.73784	<---
lizard 2.1 -10        |         Original size  |  Monte-Carlo-Pi        | -0.56564	<---
lizard 2.1 -10        |         Original size  |  Serial-Correlation    | -0.67652	<---
lizard 2.1 -10        |       Compressed size  |  Ratio                 | +0.28964
lizard 2.1 -10        |       Compressed size  |  File-bits             | +0.99613	<===
lizard 2.1 -10        |       Compressed size  |  Entropy               | +0.73605	<---
lizard 2.1 -10        |       Compressed size  |  Chi-square            | +0.95874	<===
lizard 2.1 -10        |       Compressed size  |  Mean                  | +0.74980	<---
lizard 2.1 -10        |       Compressed size  |  Monte-Carlo-Pi        | -0.62143	<---
lizard 2.1 -10        |       Compressed size  |  Serial-Correlation    | -0.63012	<---
lizard 2.1 -10        |                 Ratio  |  File-bits             | +0.22507
lizard 2.1 -10        |                 Ratio  |  Entropy               | +0.59893	<---
lizard 2.1 -10        |                 Ratio  |  Chi-square            | +0.14033
lizard 2.1 -10        |                 Ratio  |  Mean                  | +0.60012	<---
lizard 2.1 -10        |                 Ratio  |  Monte-Carlo-Pi        | -0.91082	<===
lizard 2.1 -10        |                 Ratio  |  Serial-Correlation    | +0.18703
